Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-09-05 00:05:08,2024-09-05 22:42:35,UTC+01:00,2024-09-05 00:05:08,2024-09-05 07:45:36,100,13.4,447,460,199,97,151,13,423,37,97,59,false
2024-09-04 00:10:22,2024-09-05 00:05:08,UTC+01:00,2024-09-04 17:12:15,2024-09-04 18:54:37,18,13.9,90,102,43,22,25,12,505,37,90,,true
2024-09-04 00:10:22,2024-09-05 00:05:08,UTC+01:00,2024-09-04 00:10:22,2024-09-04 07:06:44,84,14.0,377,412,144,111,122,35,451,63,92,51,false
2024-09-03 00:05:40,2024-09-04 00:10:22,UTC+01:00,2024-09-03 16:27:01,2024-09-03 18:24:18,19,13.5,101,117,64,23,14,16,533,63,99,,true
2024-09-03 00:05:40,2024-09-04 00:10:22,UTC+01:00,2024-09-03 00:05:40,2024-09-03 06:12:24,73,14.2,349,366,184,67,98,17,477,0,95,58,false
2024-09-02 00:42:38,2024-09-03 00:05:40,UTC+01:00,2024-09-02 00:42:38,2024-09-02 07:59:31,100,14.3,406,434,199,95,112,28,377,0,93,36,false
2024-08-31 20:57:16,2024-09-02 00:42:38,UTC+01:00,2024-09-01 14:41:55,2024-09-01 17:11:24,19,18.0,88,149,66,7,15,61,454,0,59,,true
2024-08-31 20:57:16,2024-09-02 00:42:38,UTC+01:00,2024-08-31 20:57:16,2024-09-01 10:05:33,100,13.6,707,788,290,160,257,81,541,58,91,34,false
2024-08-31 00:42:10,2024-08-31 20:57:16,UTC+01:00,2024-08-31 00:42:10,2024-08-31 07:07:24,76,13.7,362,385,176,92,94,23,479,3,94,66,false
2024-08-30 00:36:19,2024-08-31 00:42:10,UTC+01:00,2024-08-30 00:36:19,2024-08-30 07:44:51,99,14.7,391,426,176,102,113,35,397,72,93,46,false
2024-08-29 00:17:39,2024-08-30 00:36:19,UTC+01:00,2024-08-29 16:50:00,2024-08-29 19:35:00,29,14.4,157,165,76,33,48,8,549,72,95,,true
2024-08-29 00:17:39,2024-08-30 00:36:19,UTC+01:00,2024-08-29 00:17:39,2024-08-29 06:42:40,71,14.0,354,382,228,63,63,28,499,0,93,62,false
2024-08-28 00:51:45,2024-08-29 00:17:39,UTC+01:00,2024-08-28 00:51:45,2024-08-28 10:18:56,100,13.5,532,567,226,144,162,35,482,0,93,53,false
2024-08-27 00:11:09,2024-08-28 00:51:45,UTC+01:00,2024-08-27 00:11:09,2024-08-27 07:44:27,100,13.8,417,451,196,107,114,34,338,0,94,41,false
2024-08-25 22:42:11,2024-08-27 00:11:09,UTC+01:00,2024-08-26 17:00:00,2024-08-26 19:16:30,25,16.8,115,136,88,0,27,21,453,0,93,,true
2024-08-25 22:42:11,2024-08-27 00:11:09,UTC+01:00,2024-08-25 22:42:11,2024-08-26 11:33:39,100,14.7,675,771,395,133,147,96,460,5,87,46,false
2024-08-25 02:29:58,2024-08-25 22:42:11,UTC+01:00,2024-08-25 02:29:58,2024-08-25 11:53:18,98,14.0,522,563,220,157,145,41,531,64,93,37,false
2024-08-24 00:23:24,2024-08-25 02:29:58,UTC+01:00,2024-08-24 00:23:24,2024-08-24 07:46:05,76,13.5,403,442,194,117,92,39,532,63,91,85,false
2024-08-23 00:20:11,2024-08-24 00:23:24,UTC+01:00,2024-08-23 00:20:11,2024-08-23 07:10:04,75,13.8,390,409,178,99,113,19,516,40,95,78,false
2024-08-22 00:17:23,2024-08-23 00:20:11,UTC+01:00,2024-08-22 00:17:23,2024-08-22 07:41:31,87,13.4,412,444,246,92,74,32,474,51,94,67,false
